1690986273079715840,0.02203,0.01915,0.01208,0.99556,-0.01464,0.06604,-0.06538,
1690986273379368704,-0.01272,0.03308,0.00890,0.99467,-0.01258,0.08156,-0.06179,
1690986273479394560,0.00484,0.03523,0.01955,0.99362,-0.01125,0.09660,-0.05702,
1690986273579646208,0.01346,0.03162,0.03100,0.99206,-0.00663,0.11441,-0.05175,
1690986273779496448,0.00098,0.03528,0.01839,0.99483,-0.01235,0.08867,-0.04803,
1690986273879465472,-0.01224,0.04983,0.01367,0.99592,-0.01316,0.07146,-0.05347,
1690986274079729408,-0.00438,0.03919,0.01781,0.99571,-0.01244,0.08160,-0.04188,
1690986274279485440,-0.02034,0.03894,0.00969,0.99759,-0.01026,0.06381,-0.02532,
1690986274479265024,-0.00258,0.03320,0.02098,0.99735,-0.01466,0.07011,-0.01266,
1690986274579288832,-0.01409,0.04314,0.01608,0.99676,0.00033,0.07609,-0.02603,
1690986274779600384,-0.01027,0.03142,0.01837,0.99766,0.00954,0.06579,-0.01623,
1690986275179570432,-0.00551,0.02920,0.03565,0.99828,0.01655,0.05490,-0.01202,
1690986275279434752,-0.00569,0.02904,0.05526,0.99971,0.00550,0.02086,-0.01099,
1690986275379087360,-0.00578,0.02754,0.08764,0.99991,-0.00124,-0.00472,-0.01215,
1690986275479463424,0.00201,0.01607,0.13799,0.99992,-0.00062,-0.01189,-0.00347,
1690986275579910912,-0.00364,0.02789,0.20094,0.99977,0.00799,0.00518,0.01916,
1690986275679589632,-0.00704,0.03470,0.27657,0.99902,0.01029,0.02146,0.03735,
1690986275779257344,-0.01414,0.04501,0.36468,0.99861,0.01031,0.02997,0.04210,
1690986275879555072,-0.02459,0.05300,0.46152,0.99885,0.01289,0.01942,0.04198,
1690986275979784704,-0.04032,0.05925,0.55770,0.99882,0.00692,-0.00826,0.04737,
1690986276079432448,-0.05528,0.06100,0.64636,0.99857,-0.00073,-0.02786,0.04568,
1690986276179029760,-0.06814,0.05857,0.72134,0.99777,0.00577,-0.05064,0.04321,
1690986276279093248,-0.07972,0.05468,0.78235,0.99628,0.00354,-0.07397,0.04406,
1690986276379347456,-0.09349,0.05300,0.83103,0.99591,-0.02083,-0.07182,0.05061,
1690986276479901184,-0.10461,0.05585,0.86896,0.99574,-0.03770,-0.04796,0.06918,
1690986276582684416,-0.10327,0.05834,0.89622,0.99693,-0.03621,-0.01653,0.06748,
